seed,x,y,z,surface,openingTurns
qa813-temperate-rural-small-0,16,0,13,grass,3
qa813-temperate-rural-small-0,45,2,15,grass,0
qa813-temperate-rural-small-0,41,1,44,grass,1
qa813-temperate-rural-small-2,9,0,15,dirt,0
qa813-temperate-rural-medium-0,55,2,57,grass,1
qa813-temperate-rural-medium-0,68,2,57,dirt,3
qa813-temperate-rural-medium-0,50,2,61,grass,2
qa813-temperate-rural-medium-0,50,2,66,grass,0
qa813-temperate-rural-medium-1,32,2,20,grass,1
qa813-temperate-rural-medium-1,65,2,57,grass,1
qa813-temperate-rural-medium-1,69,1,57,dirt,1
qa813-temperate-rural-medium-2,50,2,42,dirt,2
qa813-temperate-rural-large-0,47,2,13,grass,3
qa813-temperate-rural-large-0,50,0,36,grass,2
qa813-temperate-rural-large-0,56,3,73,dirt,2
qa813-temperate-rural-large-0,4,3,79,grass,1
qa813-temperate-rural-large-0,46,1,88,grass,3
qa813-temperate-rural-large-0,43,0,91,grass,0
qa813-temperate-rural-large-0,16,2,94,grass,1
qa813-temperate-rural-large-1,3,2,6,grass,1
qa813-temperate-rural-large-1,32,1,7,grass,2
qa813-temperate-rural-large-1,75,3,11,grass,2
qa813-temperate-rural-large-1,44,1,12,grass,3
qa813-temperate-rural-large-1,82,1,18,dirt,2
qa813-temperate-rural-large-1,50,3,40,grass,2
qa813-temperate-rural-large-1,68,0,50,dirt,3
qa813-temperate-rural-large-1,75,1,53,grass,2
qa813-temperate-rural-large-1,20,1,68,dirt,1
qa813-temperate-rural-large-1,75,0,71,grass,0
qa813-temperate-rural-large-1,89,2,75,dirt,1
qa813-temperate-rural-large-1,75,1,77,grass,2
qa813-temperate-rural-large-2,50,1,56,grass,0
qa813-temperate-rural-large-2,80,1,68,dirt,1
qa813-temperate-rural-large-2,43,1,69,grass,2
qa813-temperate-rural-large-2,32,0,75,dirt,3
qa813-temperate-town-small-0,44,2,33,dirt,0
qa813-temperate-town-small-2,25,0,2,grass,0
qa813-temperate-town-small-2,16,0,17,grass,3
qa813-temperate-town-medium-0,45,0,41,grass,0
qa813-temperate-town-medium-0,44,1,43,grass,0
qa813-temperate-town-medium-0,30,1,48,grass,0
qa813-temperate-town-medium-0,25,1,57,dirt,0
qa813-temperate-town-medium-1,29,0,6,dirt,1
qa813-temperate-town-medium-1,66,0,18,grass,3
qa813-temperate-town-medium-1,8,0,25,dirt,1
qa813-temperate-town-medium-2,5,2,10,grass,2
qa813-temperate-town-medium-2,48,0,20,dirt,1
qa813-temperate-town-medium-2,42,0,25,dirt,1
qa813-temperate-town-medium-2,34,2,44,grass,3
qa813-temperate-town-medium-2,3,1,46,grass,3
qa813-temperate-town-large-0,19,1,5,grass,2
qa813-temperate-town-large-0,16,1,19,grass,3
qa813-temperate-town-large-0,7,0,21,grass,2
qa813-temperate-town-large-0,43,0,29,grass,2
qa813-temperate-town-large-0,68,0,50,dirt,1
qa813-temperate-town-large-0,30,0,75,grass,1
qa813-temperate-town-large-1,5,1,50,dirt,1
qa813-temperate-town-large-1,75,0,59,grass,0
qa813-temperate-town-large-1,40,3,79,grass,2
qa813-temperate-town-large-2,2,3,20,grass,3
qa813-temperate-town-large-2,30,2,70,grass,1
qa813-temperate-town-large-2,6,3,75,grass,1
qa813-snowy-rural-small-1,6,1,20,snow,0
qa813-snowy-rural-small-2,36,3,18,rock,3
qa813-snowy-rural-small-2,4,0,29,snow,3
qa813-snowy-rural-small-2,43,0,32,snow,0
