capture_index,seed,biome,settlement,size,models,units,slope,sheet
1,mc-opening-01,temperate,rural,small,1,1,100,rural-small-01.jpg
2,mc-opening-01,snowy,rural,small,1,1,100,rural-small-01.jpg
3,mc-opening-01,desert,rural,small,1,1,100,rural-small-01.jpg
4,mc-opening-01,coastal,rural,small,1,1,100,rural-small-01.jpg
5,mc-opening-01,coastal,town,small,1,1,100,town-small-01.jpg
6,mc-opening-01,desert,town,small,1,1,100,town-small-01.jpg
7,mc-opening-01,snowy,town,small,1,1,100,town-small-01.jpg
8,mc-opening-01,temperate,town,small,1,1,100,town-small-01.jpg
9,mc-opening-01,temperate,city,small,1,1,100,city-small-01.jpg
10,mc-opening-01,snowy,city,small,1,1,100,city-small-01.jpg
11,mc-opening-01,desert,city,small,1,1,100,city-small-01.jpg
12,mc-opening-01,coastal,city,small,1,1,100,city-small-01.jpg
13,mc-opening-02,coastal,city,small,1,1,100,city-small-02.jpg
14,mc-opening-02,desert,city,small,1,1,100,city-small-02.jpg
15,mc-opening-02,snowy,city,small,1,1,100,city-small-02.jpg
16,mc-opening-02,temperate,city,small,1,1,100,city-small-02.jpg
17,mc-opening-02,temperate,town,small,1,1,100,town-small-02.jpg
18,mc-opening-02,snowy,town,small,1,1,100,town-small-02.jpg
19,mc-opening-02,desert,town,small,1,1,100,town-small-02.jpg
20,mc-opening-02,coastal,town,small,1,1,100,town-small-02.jpg
21,mc-opening-02,coastal,rural,small,1,1,100,rural-small-02.jpg
22,mc-opening-02,desert,rural,small,1,1,100,rural-small-02.jpg
23,mc-opening-02,snowy,rural,small,1,1,100,rural-small-02.jpg
24,mc-opening-02,temperate,rural,small,1,1,100,rural-small-02.jpg
25,mc-opening-03,temperate,rural,small,1,1,100,rural-small-03.jpg
26,mc-opening-03,snowy,rural,small,1,1,100,rural-small-03.jpg
27,mc-opening-03,desert,rural,small,1,1,100,rural-small-03.jpg
28,mc-opening-03,coastal,rural,small,1,1,100,rural-small-03.jpg
29,mc-opening-03,coastal,town,small,1,1,100,town-small-03.jpg
30,mc-opening-03,desert,town,small,1,1,100,town-small-03.jpg
31,mc-opening-03,snowy,town,small,1,1,100,town-small-03.jpg
32,mc-opening-03,temperate,town,small,1,1,100,town-small-03.jpg
33,mc-opening-03,temperate,city,small,1,1,100,city-small-03.jpg
34,mc-opening-03,snowy,city,small,1,1,100,city-small-03.jpg
35,mc-opening-03,desert,city,small,1,1,100,city-small-03.jpg
